YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_centroid_x,body_centroid_y,tail_centroid_x,tail_centroid_y,head_centroid_x,head_centroid_y,body_contour_area,error,execution_time,frame_width,frame_height
2020,12,31,18,9,55,819143,212,65,190,63,238,64,0.0033928285897025902,False,0.009041309356689453,424,472
2020,12,31,18,9,55,827795,215,64,193,64,237,63,0.003305384553885513,False,0.008620738983154297,424,472
2020,12,31,18,9,55,836760,214,63,196,67,235,62,0.0031954549088583305,False,0.008941411972045898,424,472
2020,12,31,18,9,55,845462,213,64,195,66,233,63,0.0031080108730412535,False,0.008670806884765625,424,472
2020,12,31,18,9,55,854437,212,65,194,68,231,62,0.0029755956188039652,False,0.008952140808105469,424,472
2020,12,31,18,9,55,863178,212,65,195,66,231,62,0.0029106371921969938,False,0.008706808090209961,424,472
2020,12,31,18,9,55,872135,212,65,194,68,231,62,0.0029206307962903744,False,0.008934736251831055,424,472
2020,12,31,18,9,55,880762,212,65,195,68,232,62,0.0029631036136872403,False,0.008596181869506836,424,472
2020,12,31,18,9,55,889671,213,66,193,67,232,60,0.0029730972177806204,False,0.008885383605957031,424,472
2020,12,31,18,9,55,898328,213,66,195,68,233,59,0.002960605212663895,False,0.008623361587524414,424,472
2020,12,31,18,9,55,907299,214,65,196,68,236,59,0.003040554045410937,False,0.008949518203735352,424,472
2020,12,31,18,9,55,915941,217,65,197,68,240,60,0.0031479852894147745,False,0.00861048698425293,424,472
2020,12,31,18,9,55,924972,220,65,200,67,246,62,0.0033078829549088584,False,0.009006500244140625,424,472
2020,12,31,18,9,55,933627,227,64,205,64,251,62,0.0033503557723057243,False,0.008623361587524414,424,472
2020,12,31,18,9,55,942552,233,64,210,62,258,63,0.0034003237927726256,False,0.008889913558959961,424,472
2020,12,31,18,9,55,951182,239,63,217,63,264,65,0.0033578509753757597,False,0.008596181869506836,424,472
2020,12,31,18,9,55,960072,243,64,223,67,266,64,0.0032279341221618163,False,0.00886845588684082,424,472
2020,12,31,18,9,55,968679,247,65,227,67,272,66,0.0032779021426287175,False,0.008572578430175781,424,472
2020,12,31,18,9,55,977683,250,65,230,66,272,62,0.0031529820914614646,False,0.008982419967651367,424,472
2020,12,31,18,9,55,986327,254,65,232,65,281,63,0.0033928285897025902,False,0.008610248565673828,424,472
2020,12,31,18,9,55,995266,262,63,238,62,292,61,0.0037376079309242084,False,0.008916139602661133,424,472
2020,12,31,18,9,56,3899,276,62,250,58,307,65,0.0036451670930604412,False,0.00860142707824707,424,472
2020,12,31,18,9,56,12831,293,63,268,59,320,67,0.0034577870163095617,False,0.008908510208129883,424,472
